observed,null_mean,null_sd,null_q025,null_q975,perm_p,threshold,n_pcs,kingdom_a,kingdom_b,n_samples,covariates_used,metric,null_type
0.08444696203256485,0.05848577678045751,0.06346734955921667,0.014125275147879863,0.26792614014652055,0.17,0.01,5,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,rv_coeff,shuffled_labels
0.08444696203256485,0.08444696203256487,3.1627589701067716e-17,0.08444696203256481,0.08444696203256487,0.32,0.01,5,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,rv_coeff,random_alignment
-0.021949105444364864,-0.003294076928449674,0.11231451017326827,-0.11302157266008063,0.31145963432810236,0.86,0.01,5,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,embedding_distance_pearson_r,shuffled_labels
-0.021949105444364864,-0.02194910544436486,7.614093629272631e-18,-0.021949105444364875,-0.021949105444364844,0.34,0.01,5,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,embedding_distance_pearson_r,random_alignment
0.3603569099376095,0.022808249636396615,0.02274133336878152,0.004234422221661305,0.0847617093188702,0.01,0.01,5,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,procrustes_corr,shuffled_labels
0.3603569099376095,0.3603569099376094,1.0930977355090158e-16,0.36035690993760927,0.3603569099376096,0.46,0.01,5,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,procrustes_corr,random_alignment
0.39479278577934446,0.007571719291754281,0.07389841981596296,-0.14405886792971156,0.14497765367263188,0.01,0.01,5,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,mantel_spearman_r,shuffled_labels
0.39479278577934446,0.39479278577934446,0.0,0.39479278577934446,0.39479278577934446,1.0,0.01,5,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,mantel_spearman_r,random_alignment
0.5222960272930756,0.053503922789860305,0.06256508761040624,0.00786266047021309,0.23844118145165874,0.01,0.01,5,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,rv_coeff,shuffled_labels
0.5222960272930756,0.5222960272930754,1.6367675025291124e-16,0.5222960272930754,0.5222960272930758,0.9,0.01,5,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,rv_coeff,random_alignment
0.6029999032377328,-0.0016091389473324351,0.08556631128613071,-0.09269033441164731,0.20653283767749633,0.01,0.01,5,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,embedding_distance_pearson_r,shuffled_labels
