threshold,n_pcs,kingdom_a,kingdom_b,n_samples,covariates_used,procrustes_corr,adj_procrustes_corr,delta_procrustes_corr,mantel_spearman_r,adj_mantel_spearman_r,delta_mantel_spearman_r,rv_coeff,adj_rv_coeff,delta_rv_coeff,embedding_distance_pearson_r,adj_embedding_distance_pearson_r,delta_embedding_distance_pearson_r
0.05,5,BAC,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.4109513613172807,0.7934048015480761,0.3824534402307954,0.27685594837810684,0.8988323323092393,0.6219763839311325,0.5492283189258708,0.5081843778022036,-0.04104394112366716,0.28809579286141573,0.964687163804448,0.6765913709430322
0.05,5,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.4775971652078562,0.8271605034041731,0.3495633381963169,0.38030305325962654,0.9508972712669994,0.5705942180073729,0.5642014992723016,0.8163795407831407,0.2521780415108391,0.40746828130879226,0.96096121094927,0.5534929296404778
0.05,5,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.5858569263477401,0.8620850716783746,0.27622814533063444,0.40551831021108475,0.9484780093548174,0.5429596991437327,0.6643969708992724,0.6321677463374743,-0.03222922456179811,0.4085193875128369,0.9595006285693384,0.5509812410565015
0.05,10,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.29161983975579564,0.8655604228545367,0.5739405830987411,0.14373299303050907,0.932083149390507,0.7883501563599979,0.44101351211591955,0.9342302771037938,0.49321676498787426,0.16521029100695794,0.9468775253476208,0.7816672343406629
0.05,10,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.34696007034733256,0.7613663375632673,0.41440626721593476,0.36216959729347975,0.8574845265040084,0.49531492921052866,0.4976447038113899,0.7936272212098532,0.29598251739846326,0.41189596050819116,0.8619169229832908,0.45002096247509965
0.05,10,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.3942146631890735,0.636227885372192,0.2420132221831185,0.5146634746134393,0.8225915035334991,0.30792802892005977,0.5374658658486718,0.5547379676957908,0.017272101847118915,0.5215822967575844,0.7973119344995595,0.2757296377419751
0.05,10,BAC,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.4612321035540037,0.8548076283952115,0.39357552484120784,0.17699128179784812,0.887767529732074,0.7107762479342259,0.5937544857343527,0.8429442438755801,0.24918975814122735,0.20263549305807327,0.9522785357501977,0.7496430426921245
0.05,10,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.48054242097190714,0.7515295870957232,0.270987166123816,0.28803744760817557,0.9311315888655683,0.6430941412573927,0.5816410497808218,0.5006446150670056,-0.08099643471381612,0.32555990435180154,0.9237250065138137,0.5981651021620122
0.05,10,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.6043055777670585,0.9230479519968333,0.3187423742297748,0.3749961655815522,0.9010575716317382,0.526061406050186,0.6863624112168831,0.8460901152086728,0.1597277039917897,0.39473585439927794,0.9827860686315606,0.5880502142322827
0.05,20,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.3499314605767605,0.9867760456800343,0.6368445851032738,0.13351011797201953,0.9856050731006282,0.8520949551286087,0.4829171136908725,0.9966810802161639,0.5137639665252913,0.1707661993004225,0.9949253316565672,0.8241591323561447
0.05,20,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.37943776766155923,0.8819160871432455,0.5024783194816863,0.3377436467447177,0.9544760579468745,0.6167324112021568,0.5320485835209676,0.8892176075935638,0.3571690240725962,0.408329552306026,0.9398214029796332,0.5314918506736073
0.05,20,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.4378196236919314,0.8270811964603006,0.38926157276836926,0.5669074772832448,0.935896540351398,0.36898906306815327,0.5767662056429852,0.7815835255832809,0.20481731994029573,0.5649615317918779,0.9150853710829343,0.3501238392910564
0.05,20,BAC,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.44933024904796326,0.9053931950411622,0.45606294599319896,0.14754467577721178,0.9581062794886493,0.8105616037114376,0.6040615698537827,0.8957069554810051,0.2916453856272224,0.17496321648517688,0.9583128609457011,0.7833496444605242
0.05,20,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.48967612921185344,0.8569422559119312,0.36726612670007774,0.2624277594597791,0.951088629994491,0.6886608705347119,0.6108861933785594,0.7865731685388654,0.17568697516030596,0.29880811883566166,0.9383424488815433,0.6395343300458816
