pair,branch,hypothesis_id,hypothesis_name,adjusted_r2,delta_adjusted_r2_vs_base
BAC↔AMF,CLR,E,abiotic_plus_compl,0.2562307973198074,-0.0029783336455807
BAC↔AMF,CLR,F,abiotic_plus_alpha_dark,0.26482279930323,0.0056136683378418
BAC↔AMF,CLR,G,abiotic_plus_pool_compl,0.2636398259354298,0.0044306949700415
BAC↔AMF,CLR,A,abiotic_base,0.2526303543191498,0.0
BAC↔AMF,CLR,B,abiotic_plus_alpha,0.2594978234786786,0.0068674691595288
BAC↔AMF,CLR,C,abiotic_plus_dark,0.2527506300886328,0.000120275769483
BAC↔AMF,CLR,D,abiotic_plus_pool,0.2564300102966482,0.0037996559774984
BAC↔AMF,CLR,E,abiotic_plus_compl,0.2487682166932748,-0.0038621376258749
BAC↔AMF,CLR,F,abiotic_plus_alpha_dark,0.2564932592123254,0.0038629048931756
BAC↔AMF,CLR,G,abiotic_plus_pool_compl,0.2547354541712554,0.0021050998521056
BAC↔AMF,presence/absence,A,abiotic_base,0.2425398597562493,0.0
BAC↔AMF,presence/absence,B,abiotic_plus_alpha,0.2577725346026335,0.0152326748463841
BAC↔AMF,presence/absence,C,abiotic_plus_dark,0.2440271485023359,0.0014872887460866
BAC↔AMF,presence/absence,D,abiotic_plus_pool,0.2510505615894269,0.0085107018331775
BAC↔AMF,presence/absence,E,abiotic_plus_compl,0.2402490294123029,-0.0022908303439463
BAC↔AMF,presence/absence,F,abiotic_plus_alpha_dark,0.253452971434896,0.0109131116786466
BAC↔AMF,presence/absence,G,abiotic_plus_pool_compl,0.2525918839125267,0.0100520241562773
BAC↔AMF,presence/absence,A,abiotic_base,0.2290339235161969,0.0
BAC↔AMF,presence/absence,B,abiotic_plus_alpha,0.2429105539111131,0.0138766303949162
BAC↔AMF,presence/absence,C,abiotic_plus_dark,0.2306092944575299,0.001575370941333
BAC↔AMF,presence/absence,D,abiotic_plus_pool,0.2372715357576978,0.0082376122415009
BAC↔AMF,presence/absence,E,abiotic_plus_compl,0.2258407669134752,-0.0031931566027216
