kingdom,sample_id,richness_nonzero_taxa
ITS,D128.N1,117
ITS,D129.N1,206
ITS,D130.N1,287
ITS,D131.N1,150
ITS,D132.N1,197
ITS,D136.N2,221
ITS,D136.N3,134
ITS,D137.N1,142
ITS,D138.N1,171
ITS,D139.N1,336
ITS,D140.N1,172
ITS,D140.N2,178
ITS,D141.N1,175
ITS,D143.N1,334
ITS,D145.N1,377
ITS,D145.N2,313
ITS,D145.N3,399
ITS,D146.N1,26
ITS,D146.N2,199
ITS,D149.N1,190
ITS,D150.N1,354
ITS,D152.N1,203
ITS,D153.N1,435
ITS,D154.N1,200
ITS,D156.N1,59
ITS,D157.N1,440
ITS,D158.N1,131
ITS,D158.N2,402
ITS,D160.N1,295
ITS,D160.N2,322
ITS,D161.N1,278
ITS,D163.N1,382
ITS,D164.N1,472
ITS,D165.N1,83
ITS,D165.N2,112
ITS,D168.N1,304
ITS,D169.N1,181
ITS,D171.N1,808
ITS,D182.N1,316
ITS,D182.N2,210
ITS,D182.N3,62
ITS,D183.N1,236
ITS,D185.N1,561
ITS,D186.N1,448
ITS,D187.N1,357
ITS,D190.N1,169
ITS,D190.N2,393
ITS,D191.N1,323
ITS,D192.N1,395
ITS,D193.N1,308
ITS,D194.N1,477
ITS,D196.N1,635
ITS,D199.N1,494
ITS,D199.N2,388
