kingdom,sample_id,library_size
ITS,D121.N1,3479.0
ITS,D123.N1,4932.0
ITS,D123.N2,3087.0
ITS,D124.N1,2427.0
ITS,D125.N1,2067.0
ITS,D126.N1,1734.0
ITS,D127.N1,10055.0
ITS,D128.N1,801.0
ITS,D129.N1,859.0
ITS,D130.N1,2223.0
ITS,D131.N1,478.0
ITS,D132.N1,4144.0
ITS,D136.N2,3648.0
ITS,D136.N3,430.0
ITS,D137.N1,4225.0
ITS,D138.N1,3442.0
ITS,D139.N1,4678.0
ITS,D140.N1,3836.0
ITS,D140.N2,4300.0
ITS,D141.N1,1593.0
ITS,D143.N1,6508.0
ITS,D145.N1,3886.0
ITS,D145.N2,4317.0
ITS,D145.N3,4471.0
ITS,D146.N1,697.0
ITS,D146.N2,437.0
ITS,D149.N1,3364.0
ITS,D150.N1,3743.0
ITS,D152.N1,1628.0
ITS,D153.N1,5122.0
ITS,D154.N1,6639.0
ITS,D156.N1,295.0
ITS,D157.N1,2664.0
ITS,D158.N1,1000.0
ITS,D158.N2,9728.0
ITS,D160.N1,3882.0
ITS,D160.N2,3432.0
ITS,D161.N1,9305.0
ITS,D163.N1,2945.0
ITS,D164.N1,6122.0
ITS,D165.N1,999.0
ITS,D165.N2,2056.0
ITS,D168.N1,8261.0
ITS,D169.N1,4638.0
ITS,D171.N1,11003.0
ITS,D182.N1,6497.0
ITS,D182.N2,2959.0
ITS,D182.N3,2242.0
ITS,D183.N1,17634.0
ITS,D185.N1,11681.0
ITS,D186.N1,10750.0
ITS,D187.N1,5692.0
ITS,D190.N1,16772.0
ITS,D190.N2,10556.0
ITS,D191.N1,14573.0
ITS,D192.N1,11006.0
ITS,D193.N1,10099.0
ITS,D194.N1,11658.0
ITS,D196.N1,13100.0
ITS,D199.N1,12279.0
ITS,D199.N2,13167.0
