record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,clr_distance_strategy,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,F,abiotic_plus_alpha_dark,20441707,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,dark,lat,lon",0.2497158222724729,0.1806107006396743,3.613564615360625,0.001,999,direct_aitchison,N_pct,0.2497158222724729,0.2420229822859563,0.0076928399865165,0.1806107006396743,0.1829598380484983,-0.002349137408824,0.1706534375433859,0.0099572630962884
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,F,abiotic_plus_alpha_dark,20441707,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,dark,lat,lon",0.2497158222724729,0.1806107006396743,3.613564615360625,0.001,999,direct_aitchison,dark,0.2497158222724729,0.2447108233399565,0.0050049989325163,0.1806107006396743,0.1858571212625505,-0.0052464206228761,0.1706534375433859,0.0099572630962884
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,G,abiotic_plus_pool_compl,20441708,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,pool,compl,lat,lon",0.2457943290021815,0.176328017199751,3.538324154897498,0.001,999,direct_aitchison,pH_KCl,0.2457943290021815,0.1439238484657805,0.101870480536401,0.176328017199751,0.0772166158786984,0.0991114013210525,0.1706534375433859,0.005674579656365
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,G,abiotic_plus_pool_compl,20441708,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,pool,compl,lat,lon",0.2457943290021815,0.176328017199751,3.538324154897498,0.001,999,direct_aitchison,bio12now.100,0.2457943290021815,0.2271559050514425,0.018638423950739,0.176328017199751,0.1669342872632433,0.0093937299365076,0.1706534375433859,0.005674579656365
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,G,abiotic_plus_pool_compl,20441708,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,pool,compl,lat,lon",0.2457943290021815,0.176328017199751,3.538324154897498,0.001,999,direct_aitchison,pool,0.2457943290021815,0.2272351007873743,0.0185592282148072,0.176328017199751,0.1670196540954813,0.0093083631042696,0.1706534375433859,0.005674579656365
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,G,abiotic_plus_pool_compl,20441708,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,pool,compl,lat,lon",0.2457943290021815,0.176328017199751,3.538324154897498,0.001,999,direct_aitchison,lat,0.2457943290021815,0.2309418485765458,0.0148524804256356,0.176328017199751,0.1710152393747182,0.0053127778250328,0.1706534375433859,0.005674579656365
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,G,abiotic_plus_pool_compl,20441708,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,pool,compl,lat,lon",0.2457943290021815,0.176328017199751,3.538324154897498,0.001,999,direct_aitchison,lon,0.2457943290021815,0.2319205183775065,0.013873810624675,0.176328017199751,0.1720701691601693,0.0042578480395816,0.1706534375433859,0.005674579656365
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,G,abiotic_plus_pool_compl,20441708,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,pool,compl,lat,lon",0.2457943290021815,0.176328017199751,3.538324154897498,0.001,999,direct_aitchison,compl,0.2457943290021815,0.2355409910284943,0.0102533379736872,0.176328017199751,0.1759727565631822,0.0003552606365687,0.1706534375433859,0.005674579656365
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,G,abiotic_plus_pool_compl,20441708,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,pool,compl,lat,lon",0.2457943290021815,0.176328017199751,3.538324154897498,0.001,999,direct_aitchison,N_pct,0.2457943290021815,0.2383579452046973,0.0074363837974842,0.176328017199751,0.1790092136622062,-0.0026811964624552,0.1706534375433859,0.005674579656365
predictor_effect,9,AMF↔EUK,CLR,0.05,primary,A,abiotic_base,20440702,84,148,4126,3,"pH_KCl,N_pct,bio12now.100",0.1934499814970212,0.1632043558031595,6.395965600284524,0.001,999,direct_aitchison,pH_KCl,0.1934499814970212,0.0683155453650067,0.1251344361320144,0.1632043558031595,0.0453109909295748,0.1178933648735847,0.1632043558031595,0.0
